name,Minutes played,Matches played,Goals,Assists,Distance covered (km),Top speed (km/h),Corners taken,Offsides,Dribbles,Total attempts,Attempts on target,Attempts off target,Blocked,Balls recovered,Tackles,Tackles won,Tackles lost,Clearances attempted,Fouls committed,Fouls suffered,Yellow cards,Red cards,Passing accuracy (%),Passes attempted,Passes completed,Crossing accuracy (%),Crosses attempted,Crosses completed,Free-kicks taken,Saves,Goals conceded,Saves from penalties,Clean sheets,Punches made,Right foot,Left foot,Head,Other,Goals inside area,Goals outside area,Penalties scored,team,position
Ronald Araújo,180,2,1,0,20.7,33.2,0,0,0,3,1,1,1,10,1,1,0,10,1,0,0,0,97,179,172,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,Barcelona,Defender
Szczęsny,180,2,0,0,11.5,24.7,0,0,0,0,0,0,0,0,1,0,1,4,1,0,0,0,91,91,84,0,0,0,3,5,6,0,0,1,0,0,0,0,0,0,0,Barcelona,Goalkeeper
Ferran Torres,158,5,2,1,20,32.1,1,0,4,7,5,1,1,2,2,0,2,1,1,1,1,0,70,49,42,0,3,0,0,0,0,0,3,0,1,1,0,0,2,0,0,Barcelona,Forward
Eric García,97,4,1,0,12.4,29.9,0,0,1,1,1,0,0,2,2,0,2,2,2,2,0,1,67.8,87,77,0,0,0,5,0,0,0,3,0,0,0,1,0,0,1,0,Barcelona,Defender
Ter Stegen,90,1,0,0,5.1,24.1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,70,54,38,0,0,0,3,6,2,0,0,2,0,0,0,0,0,0,0,Barcelona,Goalkeeper
Fati,35,3,0,0,6.1,30,0,0,1,0,0,0,0,3,1,1,0,0,1,0,0,0,54,22,20,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,Barcelona,Forward
Dominguez,35,2,0,0,4.7,32.1,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,81.5,26,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Barcelona,Defender
Pau Victor,34,5,0,0,6.4,32.8,0,0,0,0,0,0,0,4,2,0,2,1,2,0,0,0,73.6,15,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,Barcelona,Forward
Fort,27,1,0,0,3.5,31.2,0,0,1,0,0,0,0,3,2,0,2,0,2,0,0,0,88,25,22,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,Barcelona,Defender
Torre,20,2,0,0,3.5,28.3,0,0,0,1,0,1,0,1,2,0,2,0,1,0,0,0,93,10,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Barcelona,Midfielder
Cuenca,6,1,0,0,1.3,33.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,9,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Barcelona,Defender
A. Fernandez,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,Barcelona,Midfielder
G. Fernandez,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,Barcelona,Midfielder
Yaakobishvili,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,Barcelona,Goalkeeper
Kochen,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,Barcelona,Goalkeeper
Astralaga,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,Barcelona,Goalkeeper
Christensen,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,Barcelona,Defender
