name,Minutes played,Matches played,Goals,Assists,Distance covered (km),Top speed (km/h),Corners taken,Offsides,Dribbles,Total attempts,Attempts on target,Attempts off target,Blocked,Balls recovered,Tackles,Tackles won,Tackles lost,Clearances attempted,Fouls committed,Fouls suffered,Yellow cards,Red cards,Passing accuracy (%),Passes attempted,Passes completed,Crossing accuracy (%),Crosses attempted,Crosses completed,Free-kicks taken,Saves,Goals conceded,Saves from penalties,Clean sheets,Punches made,Right foot,Left foot,Head,Other,Goals inside area,Goals outside area,Penalties scored,team,position
Brahim Díaz,310,5,0,1,37.9,32.3,0,1,9,6,3,2,1,9,4,0,4,1,3,9,0,0,85.6,147,123,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Real Madrid,Midfielder
Éder Militão,282,4,0,0,30,34.2,0,0,1,4,0,4,0,10,3,1,2,7,3,2,2,0,91.8,183,168,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,Real Madrid,Defender
Ceballos,218,6,0,0,29.5,30.2,1,0,1,0,0,0,0,16,8,3,5,1,3,5,1,0,97.2,204,199,0,2,0,6,0,0,0,3,0,0,0,0,0,0,0,0,Real Madrid,Midfielder
Raúl Asencio,194,4,0,0,21.4,34.7,0,0,2,0,0,0,0,9,3,3,0,8,1,3,1,0,60.5,100,92,0,1,0,5,0,0,0,2,0,0,0,0,0,0,0,0,Real Madrid,Defender
Fran García,187,5,0,0,25.1,33.3,0,0,1,0,0,0,0,7,4,1,3,8,2,0,0,0,85.6,84,76,33.3,6,2,0,0,0,0,3,0,0,0,0,0,0,0,0,Real Madrid,Defender
Camavinga,187,4,0,0,23.1,34.9,0,0,5,0,0,0,0,19,15,9,6,5,6,6,2,0,94.3,112,106,50,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,Real Madrid,Midfielder
Carvajal,180,2,0,0,21.4,32.2,0,0,0,1,0,1,0,10,3,2,1,3,2,3,0,0,86,115,99,9.1,11,1,3,0,0,0,0,0,0,0,0,0,0,0,0,Real Madrid,Defender
Lunin,180,2,0,0,10.1,25.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.5,34,32,0,0,0,0,8,4,0,0,1,0,0,0,0,0,0,0,Real Madrid,Goalkeeper
Arda Güler,142,7,0,0,22.3,30.8,7,0,3,7,1,4,2,5,1,0,1,1,1,4,0,0,89.7,107,94,44.5,9,4,1,0,0,0,5,0,0,0,0,0,0,0,0,Real Madrid,Midfielder
Endrick,99,5,1,0,13.8,33.3,0,0,1,5,2,3,0,4,5,2,3,0,4,1,2,0,89.6,24,20,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,Real Madrid,Forward
Alaba,34,2,0,0,4.7,24.1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,98.5,44,43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Real Madrid,Defender
Ramón,12,1,0,0,1.7,30.4,0,0,0,1,0,0,1,2,0,0,0,1,1,0,0,0,100,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Real Madrid,Defender
Diego Aguado,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,Real Madrid,Defender
Daniel Yañez,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,Real Madrid,Forward
Hugo De Llanos,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,Real Madrid,Midfielder
Chema Andrés,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,Real Madrid,Midfielder
González,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,Real Madrid,Goalkeeper
Pol Fortuny,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,Real Madrid,Midfielder
Youssef,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,Real Madrid,Defender
Gonzalo,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,Real Madrid,Forward
Sergio Mestre,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,Real Madrid,Goalkeeper
Vallejo,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,Real Madrid,Defender
