Team,Total Attempts,Attempts On Target,Attempts Off Target,Blocked,Balls Recovered,Tackles,Tackles Won,Tackles lost,Clearances Attempted,Passing Accuracy %,Passes Attempted,Passes Completed,Possession,Crossing Accuracy,Crosses Attempted,Crosses Completed,Free-kicks Taken,Saves,Goals Conceded,Own Goals Conceded,Saves From Penalties,Clean Sheets,Punches made,Goals,Right Foot,Left Foot,Head,Other,Goals inside Area,Goals outside Area,Penalties Scored,Attacks,Assists,Corners Taken,Offsides,Dribbles,Country,Fouls Commited,Fouls Suffered,Yellow Cards,Red Cards,symbol,standing,W,D,L,GF,GA,GD,P
Stuttgart,141,47,48,46,344,129,56,73,114,86.3,4416,3824,56.6,26.0,177,46,115,15,17,0,0,1,1,13,7,3,2,0,10,2,0,438,13,60,17,110,Germany,91,96,13,0,VFB,26,3,1,4,13,17,-4,10
Shakhtar,76,22,29,25,316,121,52,69,183,83.9,3454,2914,46.8,21.7,83,18,77,37,16,1,1,2,7,8,7,1,0,0,7,1,1,237,5,31,10,107,Ukraine,85,72,16,1,SHK,27,2,1,5,8,16,-8,7
Bologna,93,27,38,28,318,124,50,74,147,82.8,3318,2756,49.4,21.5,135,29,123,28,9,0,1,2,9,4,2,1,1,0,4,0,0,323,3,36,25,97,Italy,115,104,30,0,BOL,28,1,3,4,4,9,-5,6
Crvena Zvezda,96,31,40,25,311,105,42,63,159,82.4,3035,2552,45.4,19.5,169,33,122,26,22,0,0,1,7,13,7,3,3,0,10,3,1,317,10,40,19,111,Serbia,78,106,16,0,RSB,29,2,0,6,13,22,-9,6
Sturm Graz,66,23,27,16,325,143,68,75,220,78.8,2725,2154,40.3,17.9,95,17,100,30,14,0,0,2,9,5,2,2,0,0,4,0,0,183,4,22,18,81,Austria,105,86,19,1,STG,30,2,0,6,5,14,-9,6
Sparta Praha,74,21,32,21,319,108,43,65,199,76.1,2550,1969,36.9,30.8,78,24,76,41,21,1,0,1,13,7,2,4,0,0,5,1,0,195,5,19,7,81,Czechia,82,55,13,0,SPP,31,1,1,6,7,21,-14,4
Leipzig,102,36,38,28,328,117,44,73,155,84.9,3685,3126,47.6,22.9,118,27,91,26,15,1,0,0,2,8,4,2,2,0,8,0,1,243,7,42,19,105,Germany,89,70,16,0,RBL,32,1,0,7,8,15,-7,3
Girona,80,29,27,24,250,139,49,90,125,86.8,3739,3278,51.6,22.9,131,30,101,35,13,4,2,1,5,5,3,2,0,0,3,2,0,277,3,43,12,110,Spain,115,94,25,1,GIR,33,1,0,7,5,13,-8,3
Salzburg,75,20,27,28,351,148,47,101,138,85.4,3597,3088,46.6,15.2,112,17,93,30,27,0,0,0,5,5,0,4,1,0,4,1,0,321,5,27,14,140,Austria,92,81,18,1,SLZ,34,1,0,7,5,27,-22,3
Young Boys,81,18,38,25,297,146,60,86,178,81.5,2848,2325,43.5,20.5,112,23,98,31,24,2,2,0,5,3,1,1,1,0,1,2,0,246,3,28,15,122,Switzerland,116,76,24,0,YB,36,0,0,8,3,24,-21,0
